nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov,throughput_simple,waste_rate_simple,SBR_simple
512,30,5350000,0.43,0.018887539,0.033333333,2.263,24.7186,0.019235226,0.014098108,0.422943234,-0.79062,0.823953333,24.7186
1,20,5350000,0,0.052086724,0.05,NaN,0,0.05,0,0,0.05,0,0
8,180,5350000,0.04,0.005603449,0.005555556,2.26287,9.12009,0.005323582,0.000231973,0.041755174,-0.045111611,0.050667167,9.12009
8,55,5350000,0.15,0.015571105,0.018181818,2.26304,9.63091,0.015558049,0.002623769,0.144307304,-0.156925636,0.175107455,9.63091
128,150,5350000,0.09,0.006377351,0.006666667,2.26295,19.12875,0.006205549,0.000461118,0.069167702,-0.120858333,0.127525,19.12875
8,195,5350000,0.04,0.005305081,0.005128205,2.26298,9.12816,0.004930373,0.000197833,0.038577343,-0.041682872,0.046811077,9.12816
2096,20,5350000,0.58,0.020127055,0.05,2.26299,29.89566,0.012337146,0.037662854,0.753257071,-1.444783,1.494783,29.89566
512,115,5350000,0.15,0.007495772,0.008695652,2.26301,23.87206,0.007769092,0.00092656,0.106554433,-0.198887478,0.20758313,23.87206
2096,170,5350000,0.23,0.00483811,0.005882353,2.263,27.99855,0.005394147,0.000488206,0.082994954,-0.158815,0.164697353,27.99855
8,100,5350000,0.07,0.009749791,0.01,2.26292,9.34958,0.009229494,0.000770506,0.077050557,-0.0834958,0.0934958,9.34958
128,30,5350000,0.37,0.021605015,0.033333333,2.26299,19.99624,0.02128259,0.012050744,0.361522305,-0.633208,0.666541333,19.99624
2096,175,5350000,0.15,0.004410428,0.005714286,2.26299,28.39053,0.005247129,0.000467157,0.081752401,-0.156517314,0.1622316,28.39053
32,5,5350000,0.75,0.055578029,0.2,2.26305,28.78999,-0.520730236,0.720730236,3.603651181,-5.557998,5.757998,28.78999
8,145,5350000,0.05,0.007299749,0.006896552,2.26271,9.31322,0.006531506,0.000365046,0.052931663,-0.057332552,0.064229103,9.31322
512,70,5350000,0.23,0.013226077,0.014285714,2.263,23.6493,0.011808283,0.002477432,0.173420214,-0.323561429,0.337847143,23.6493
2096,105,5350000,0.17,0.00681048,0.00952381,2.26302,28.3523,0.0082279,0.00129591,0.136070526,-0.260498095,0.270021905,28.3523
8,125,5350000,0.05,0.007335604,0.008,2.26309,9.16632,0.007516542,0.000483458,0.060432238,-0.06533056,0.07333056,9.16632
512,15,5350000,0.62,0.027332362,0.066666667,2.263,25.14969,0.009290757,0.05737591,0.860638645,-1.609979333,1.676646,25.14969
512,120,5350000,0.11,0.00723586,0.008333333,2.26301,23.81,0.00748459,0.000848743,0.101849198,-0.190083333,0.198416667,23.81
1,95,5350000,0,0.010965426,0.010526316,NaN,0,0.010526316,0,0,0.010526316,0,0
128,120,5350000,0.15,0.006530157,0.008333333,2.26298,19.85272,0.007585568,0.000747766,0.089731883,-0.157106,0.165439333,19.85272
32,10,5350000,0.57,0.044271686,0.1,2.26292,21.4522,-0.034258897,0.134258897,1.342588967,-2.04522,2.14522,21.4522
128,50,5350000,0.23,0.015222694,0.02,2.26298,19.40557,0.015789881,0.004210119,0.210505967,-0.3681114,0.3881114,19.40557
2096,35,5350000,0.45,0.016640686,0.028571429,2.26297,29.12359,0.016590958,0.011980471,0.41931648,-0.803531143,0.832102571,29.12359
512,100,5350000,0.21,0.007578065,0.01,2.26301,23.37778,0.008799996,0.001200004,0.120000411,-0.2237778,0.2337778,23.37778
512,185,5350000,0.12,0.004933894,0.005405405,2.26301,23.21517,0.005057222,0.000348183,0.064413902,-0.120082,0.125487405,23.21517
32,20,5350000,0.48,0.029356859,0.05,2.26302,20.85648,0.017367356,0.032632644,0.652652873,-0.992824,1.042824,20.85648
32,125,5350000,0.1,0.006193684,0.008,2.26286,17.85711,0.007284743,0.000715257,0.08940718,-0.13485688,0.14285688,17.85711
512,75,5350000,0.28,0.009454925,0.013333333,2.26299,23.44776,0.011193607,0.002139727,0.1604795,-0.299303467,0.3126368,23.44776
8,5,5350000,0.59,0.072485591,0.2,2.26305,13.37633,-0.240941164,0.440941164,2.20470582,-2.475266,2.675266,13.37633
128,55,5350000,0.27,0.014438759,0.018181818,2.26303,19.83096,0.014626108,0.00355571,0.195564067,-0.342381091,0.360562909,19.83096
8,185,5350000,0.1,0.004825335,0.005405405,2.26293,9.19583,0.005183978,0.000221427,0.04096405,-0.044301784,0.049707189,9.19583
1,45,5350000,0,0.023149327,0.022222222,NaN,0,0.022222222,0,0,0.022222222,0,0
128,95,5350000,0.17,0.007709726,0.010526316,2.26293,19.29848,0.009366514,0.001159802,0.110181203,-0.192615579,0.203141895,19.29848
512,195,5350000,0.09,0.005902379,0.005128205,2.26298,23.14995,0.004815698,0.000312507,0.060938942,-0.113589487,0.118717692,23.14995
1,130,5350000,0,0.008013151,0.007692308,NaN,0,0.007692308,0,0,0.007692308,0,0
32,80,5350000,0.17,0.011721476,0.0125,2.26299,17.65755,0.010773281,0.001726719,0.138137533,-0.208219375,0.220719375,17.65755
32,60,5350000,0.23,0.014699075,0.016666667,2.26291,18.00832,0.013535963,0.003130703,0.187842208,-0.283472,0.300138667,18.00832
32,45,5350000,0.26,0.016461858,0.022222222,2.26294,18.12989,0.016618954,0.005603268,0.25214705,-0.380664222,0.402886444,18.12989
1,75,5350000,0,0.013889527,0.013333333,NaN,0,0.013333333,0,0,0.013333333,0,0
32,25,5350000,0.38,0.02486432,0.04,2.26294,18.33948,0.021635537,0.018364463,0.459111578,-0.6935792,0.7335792,18.33948
1,40,5350000,0,0.02604303,0.025,NaN,0,0.025,0,0,0.025,0,0
512,110,5350000,0.17,0.007403122,0.009090909,2.26301,23.30085,0.008102434,0.000988475,0.108732293,-0.202735,0.211825909,23.30085
128,150,5350000,0.14,0.00504326,0.006666667,2.26292,19.12875,0.006205549,0.000461118,0.069167702,-0.120858333,0.127525,19.12875
8,50,5350000,0.1,0.018395883,0.02,2.26254,9.54893,0.016852263,0.003147737,0.157386828,-0.1709786,0.1909786,9.54893
128,100,5350000,0.15,0.008190011,0.01,2.26298,19.2511,0.008955848,0.001044152,0.104415161,-0.182511,0.192511,19.2511
128,155,5350000,0.15,0.00543417,0.006451613,2.26305,18.92,0.006024477,0.000427136,0.066206015,-0.115612903,0.122064516,18.92
