nodes,interval,blocksize,SBR,throughput,theoretical_throughput,avg_delay,avg_prop_delay,throughput_markov,waste_rate_markov,SBR_markov
512,195.0,5350000,0.14,0.004283859313433579,0.005128205128205128,2.26304,23.42045,0.005120007389176262,8.19773902886612e-06,0.0015985591106288935
128,40.0,5350000,0.31,0.01609654320296099,0.025,2.26299,20.71703,0.024451187404713342,0.0005488125952866588,0.02195250381146635
8,10.0,5350000,0.43,0.062088229908914036,0.1,2.26294,10.77786,0.06506818589285715,0.03493181410714286,0.3493181410714286
8,190.0,5350000,0.03,0.004834940975626623,0.005263157894736842,2.26306,9.25026,0.005180108716363276,8.30491783735655e-05,0.015779343890977446
128,115.0,5350000,0.12,0.007294614830841894,0.008695652173913044,2.26303,19.24269,0.008633980368790484,6.167180512256012e-05,0.007092257589094413
8,60.0,5350000,0.15,0.0165477791473823,0.016666666666666666,2.26236,9.18834,0.015839442604166667,0.0008272240624999999,0.04963344374999999
2096,140.0,5350000,0.14,0.006329546977233063,0.007142857142857143,2.26299,27.80395,0.0071372906385546026,5.56650430253965e-06,0.000779310602355551
128,15.0,5350000,0.57,0.03127094036184945,0.06666666666666667,2.263,21.32858,0.06264879573316648,0.004017870933500194,0.060268064002502904
32,190.0,5350000,0.05,0.005510922289768372,0.005263157894736842,2.26287,17.65159,0.005201621121001285,6.153677373555688e-05,0.011691987009755808
128,90.0,5350000,0.23,0.008237027368313853,0.011111111111111112,2.26303,19.43591,0.011009407489524064,0.00010170362158704654,0.009153325942834188
32,10.0,5350000,0.58,0.0403086730135512,0.1,2.26307,21.21611,0.07329922591770227,0.026700774082297728,0.26700774082297724
2096,155.0,5350000,0.12,0.005998551229906953,0.0064516129032258064,2.26298,27.9718,0.006447044240063854,4.568663161952732e-06,0.0007081427901026734
8,85.0,5350000,0.09,0.010837454546360951,0.011764705882352941,2.26288,9.49267,0.011338873058576372,0.0004258328237765694,0.036195790021008395
8,70.0,5350000,0.11,0.014358132604246503,0.014285714285714285,2.26314,9.56307,0.013653171572521865,0.0006325427131924197,0.04427798992346938
2096,110.0,5350000,0.22,0.00761136815495823,0.00909090909090909,2.26299,27.86838,0.009081871379382829,9.037711526261597e-06,0.0009941482678887757
512,170.0,5350000,0.11,0.00575124518771748,0.0058823529411764705,2.263,23.32388,0.005871611290331914,1.0741650844556154e-05,0.0018260806435745462
8,180.0,5350000,0.03,0.005358412870582963,0.005555555555555556,2.26303,9.25189,0.005463006060681217,9.254949487433861e-05,0.01665890907738095
2096,85.0,5350000,0.25,0.009556656104791918,0.011764705882352941,2.263,28.22608,0.011749375787631723,1.5330094721218347e-05,0.0013030580513035594
8,175.0,5350000,0.05,0.005787241666936256,0.005714285714285714,2.26287,9.26815,0.005616200045189504,9.80856690962099e-05,0.017164992091836733
2096,25.0,5350000,0.53,0.019349539559936187,0.04,2.26298,29.39613,0.039815438010279196,0.00018456198972080395,0.004614049743020099
128,35.0,5350000,0.35,0.019276956758638733,0.02857142857142857,2.26299,20.18726,0.027872942346890358,0.0006984862245382125,0.024447017858837437
32,155.0,5350000,0.11,0.006588975326483728,0.0064516129032258064,2.2629,18.42412,0.006355100873113754,9.65120301120524e-05,0.014959364667368124
1,75.0,5350000,0.0,0.013889527421330063,0.013333333333333334,NaN,0,0.013333333333333334,0.0,0.0
512,130.0,5350000,0.11,0.00762605894501253,0.007692307692307693,2.26299,23.26752,0.007673983220411547,1.832447189614533e-05,0.002382181346498893
